Course Name,Strong Match Count,Strong-High Match Count,Average Similarity,Weighted Mean Salary,Rank Average Similarity,Rank Strong-High Match Count,Rank Strong Match Count,Rank Weighted Mean Salary,Combined Rank,Is Core
COP 1000,58,45,0.2706183852064748,82717.63111466549,102.0,97.5,94.5,103.0,99.25,
CAP 5640,53,41,0.2762509669675383,84740.31558998917,96.0,104.0,100.0,97.0,99.25,
CAP 5768C,50,42,0.27217952863768086,84506.19257760812,100.0,100.5,103.0,98.0,100.375,
COP 3337,57,41,0.26823460191141724,82190.98508532632,104.0,104.0,96.0,107.0,102.75,2.0
CIS 5432,43,40,0.273706350129011,84890.55107719485,99.0,107.0,109.5,96.0,102.875,
COP 4226,50,42,0.25634937393803925,78838.72891200655,112.0,100.5,103.0,111.0,106.625,
COP 4610,50,41,0.2619384194009525,79796.96601686413,110.0,104.0,103.0,110.0,106.75,4.0
CDA 3003,34,32,0.26918522843787834,82899.90464177553,103.0,112.0,112.5,102.0,107.375,
CGS 3095,43,41,0.2634205913734297,81938.90031177833,109.0,104.0,109.5,108.0,107.625,2.0
CEN 4083,50,45,0.2511682546383506,77607.80971007023,116.0,97.5,103.0,117.0,108.375,
CAP 5507,32,29,0.267062233483722,83089.94395902667,107.0,113.5,114.0,101.0,108.875,
CIS 4365,49,39,0.25673509948821954,78559.589425832,111.0,108.0,106.0,112.0,109.25,
CIS 4203,34,29,0.2679142734295753,82501.83399431077,105.0,113.5,112.5,106.0,109.25,
CIS 5910,25,21,0.2673959567796352,82666.34495102179,106.0,117.5,116.5,105.0,111.25,
CIS 5374,41,37,0.2535826551879561,77653.63521277354,114.0,109.0,111.0,115.0,112.25,
CTS 4348,44,34,0.24447791697674015,73422.69861801482,121.0,111.0,108.0,121.0,115.25,
COP 4520,25,23,0.2511918791331524,77650.56804310647,115.0,116.0,116.5,116.0,115.875,
COT 5407,26,25,0.24971569684702294,77056.71187787411,120.0,115.0,115.0,119.0,117.25,
TCN 5710,20,19,0.25064143548871193,77703.46348567445,118.0,119.0,121.0,114.0,118.0,
TCN 5445,23,21,0.2504926805406115,75896.86707578825,119.0,117.5,118.5,120.0,118.75,
CAP 5771,20,18,0.2509150212673947,77478.86619014855,117.0,120.5,121.0,118.0,119.125,
CIS 5915,14,12,0.25413087397640527,78050.82070654775,113.0,128.0,129.0,113.0,120.75,
IDC 2002,20,18,0.23345112569067017,72554.62377688565,125.0,120.5,121.0,123.0,122.375,
CNT 4513,19,16,0.23760402400133218,71591.07548733363,122.0,124.5,123.5,126.0,124.0,
CAP 5701,16,14,0.2351015717397595,72828.14940662438,123.0,126.0,127.5,122.0,124.625,
COP 3832,23,11,0.23315641948476776,70389.8563870252,126.0,130.0,118.5,130.0,126.125,
COP 5621,19,16,0.22678811191378137,69520.61716909538,131.0,124.5,123.5,132.0,127.75,
IDC 2020,17,17,0.2256452766918512,70089.4255900116,132.0,122.5,126.0,131.0,127.875,
CNT 4713,12,11,0.2308951135898052,70458.16414181453,128.0,130.0,130.0,128.0,129.0,4.0
TCN 5010,10,10,0.23350567271023293,71673.40032114487,124.0,133.5,135.0,125.0,129.375,
CAP 4612,10,10,0.23102130551042768,72142.7128156174,127.0,133.5,135.0,124.0,129.875,
COT 5428,18,17,0.21564391538457464,67250.74675824866,139.0,122.5,125.0,135.0,130.375,
COP 3530,11,10,0.2297788878686206,70438.49327735385,130.0,133.5,132.0,129.0,131.125,3.0
COP 4338,16,13,0.2167449923448784,65427.92887954712,137.0,127.0,127.5,139.0,132.625,3.0
CGS 3559,11,8,0.22037084430109619,67244.43227663763,134.0,137.5,132.0,136.0,134.875,
CAP 5610,9,9,0.21871275006858412,68650.93383688688,135.0,136.0,137.0,134.0,135.5,
CIS 4912,6,5,0.23023375569907728,70688.61275141579,129.0,144.0,142.5,127.0,135.625,
CGS 3767,7,7,0.21177741414759044,64648.33869312685,140.0,139.5,139.5,140.0,139.75,
CAP 4830,3,3,0.22476615846416975,69182.03039704057,133.0,148.0,148.5,133.0,140.625,
CIS 4431,7,7,0.19714472302517222,60301.941517491185,143.0,139.5,139.5,143.0,141.25,
COP 3353,4,4,0.21808503790173764,66305.4518670458,136.0,146.0,146.5,138.0,141.625,
TCN 5080,8,8,0.18216241803669994,56446.576225094104,146.0,137.5,138.0,146.0,141.875,
CAP 4770,6,5,0.20093777794824086,61764.601395543155,141.0,144.0,142.5,141.0,142.125,
CIS 5370,11,11,0.14935856399960207,46744.93366706195,154.0,130.0,132.0,154.0,142.5,
COT 4521,3,3,0.2157546757438848,66787.42655868857,138.0,148.0,148.5,137.0,142.875,
CIS 5372,10,10,0.15762960238837048,49328.52545044931,153.0,133.5,135.0,152.0,143.375,
COT 5310,4,3,0.19150341584368843,59066.203671446754,144.0,148.0,146.5,144.0,145.625,
CAP 5510C,5,5,0.16619812162636322,52417.518764904264,150.0,144.0,145.0,149.0,147.0,
COP 4534,2,2,0.18521554405952606,57701.277584837364,145.0,152.0,152.0,145.0,148.5,
CNT 4403,6,6,0.13662184173739403,42394.59983488052,157.0,141.5,142.5,157.0,149.5,
CAP 4641,1,1,0.20017823653598854,61339.3610780996,142.0,158.0,158.0,142.0,150.0,
COT 5520,2,2,0.16877312011892232,52358.035230688976,149.0,152.0,152.0,150.0,150.75,
TCN 5150,1,1,0.1812949667922979,55663.337592548436,147.0,158.0,158.0,147.0,152.5,
CIS 5346,1,1,0.18029553766990467,55582.5288680848,148.0,158.0,158.0,148.0,153.0,
CAP 4453,2,2,0.1455403874915223,45849.7409245687,155.0,152.0,152.0,155.0,153.5,
CNT 4406,6,6,0.11079124588042841,35049.59214160129,166.0,141.5,142.5,165.0,153.75,
CAP 4710,2,2,0.1336942870050755,41687.665420801946,160.0,152.0,152.0,160.0,156.0,
CIS 5208,2,2,0.1306320306807106,40685.47525450132,161.0,152.0,152.0,161.0,156.5,
COT 3100,0,0,0.159865757537096,49939.23558371793,151.0,164.5,164.5,151.0,157.75,1.0
COT 5600,1,1,0.13386493676273029,42148.97399325257,159.0,158.0,158.0,158.0,158.25,
COT 4601,1,1,0.134333321853909,42007.58701244475,158.0,158.0,158.0,159.0,158.25,
TCN 5421,0,0,0.15913793253225034,49295.042517437265,152.0,164.5,164.5,153.0,158.5,
CDA 4625,0,0,0.13838372033923255,43063.263482885945,156.0,164.5,164.5,156.0,160.25,
COP 4604,1,1,0.12263291869150081,36366.949954648306,164.0,158.0,158.0,164.0,161.0,
CGS 5166,1,1,0.10429684832261676,33413.38768946981,167.0,158.0,158.0,167.0,162.5,
CIS 5900,0,0,0.12505525298400366,38080.88227584429,162.5,164.5,164.5,162.5,163.5,
CIS 3900,0,0,0.12505525298400366,38080.88227584429,162.5,164.5,164.5,162.5,163.5,
TCN 5455,0,0,0.1110902598490505,34275.99818964284,165.0,164.5,164.5,166.0,165.0,
