Course Name,Strong Match Count,Strong-High Match Count,Average Similarity,Weighted Mean Salary,Rank Average Similarity,Rank Strong-High Match Count,Rank Strong Match Count,Rank Weighted Mean Salary,Combined Rank,Is Core
CIS 5346,1,1,0.1793901399416892,55449.07934560376,148.0,158.0,158.0,148.0,153.0,
CAP 4453,2,2,0.1448351349232198,45751.61241325863,155.0,152.0,152.0,155.0,153.5,
CNT 4406,6,6,0.10947749974736724,34734.38125508084,166.0,141.5,142.5,165.0,153.75,
CAP 4710,2,2,0.13275337221512437,41505.69560436316,160.0,152.0,152.0,160.0,156.0,
CIS 5208,2,2,0.1294035236784365,40412.93170883127,161.0,152.0,152.0,161.0,156.5,
COT 3100,0,0,0.15897043772734873,49794.4040912289,151.0,164.5,164.5,151.0,157.75,1.0
COT 5600,1,1,0.13316779881526258,42044.29926106006,159.0,158.0,158.0,157.0,158.0,
TCN 5421,0,0,0.15823514507379552,49145.270064146775,152.0,164.5,164.5,152.0,158.25,
COT 4601,1,1,0.13349632971194506,41859.12509958374,158.0,158.0,158.0,159.0,158.25,
CDA 4625,0,0,0.13750524940943817,42903.93232099657,156.0,164.5,164.5,156.0,160.25,
COP 4604,1,1,0.12169867708391052,36174.50130315128,164.0,158.0,158.0,164.0,161.0,
CGS 5166,1,1,0.10350638526318547,33256.95245052171,167.0,158.0,158.0,167.0,162.5,
CIS 3900,0,0,0.12429158033824761,37945.07930914568,162.5,164.5,164.5,162.5,163.5,
CIS 5900,0,0,0.12429158033824761,37945.07930914568,162.5,164.5,164.5,162.5,163.5,
TCN 5455,0,0,0.11017942978285769,34083.91322729315,165.0,164.5,164.5,166.0,165.0,
